StimID,n_participants,r_prop_total,p_prop_total,n_prop_total,r_prop_relations,p_prop_relations,n_prop_relations,r_prop_objects,p_prop_objects,n_prop_objects
2347400,19,-0.3288,0.1828,18,-0.2761,0.2675,18,-0.3488,0.1561,18
2360001,19,-0.3346,0.1614,19,-0.2597,0.283,19,-0.3636,0.126,19
2348899,19,-0.2546,0.2929,19,-0.2376,0.3272,19,-0.2205,0.3643,19
2350974,13,-0.1222,0.7053,12,-0.1582,0.6233,12,-0.096,0.7665,12
2369373,18,0.0526,0.841,17,-0.1407,0.5902,17,0.1017,0.6978,17
2410309,19,0.1106,0.6621,18,-0.061,0.8098,18,0.2509,0.3152,18
2356991,19,0.084,0.7324,19,-0.0524,0.8314,19,0.1661,0.4968,19
2397102,19,0.2916,0.2404,18,0.0066,0.9794,18,0.3439,0.1622,18
2386442,18,0.3214,0.2085,17,0.0122,0.9631,17,0.437,0.0795,17
2409918,19,-0.0497,0.84,19,0.0495,0.8406,19,-0.107,0.6629,19
2408717,19,0.1162,0.6356,19,0.0561,0.8196,19,-0.0176,0.9428,19
2383555,16,0.1347,0.6189,16,0.0809,0.7658,16,0.1785,0.5083,16
2385550,19,-0.1023,0.6862,18,0.112,0.6583,18,-0.1735,0.4911,18
150472,17,0.3564,0.1602,17,0.1141,0.6629,17,0.1388,0.5953,17
2349475,19,0.2197,0.381,18,0.1365,0.5892,18,0.1937,0.4412,18
2362704,19,0.1034,0.6831,18,0.143,0.5714,18,-0.0034,0.9893,18
2379478,18,0.0615,0.8145,17,0.1484,0.5698,17,0.0023,0.993,17
2374670,19,0.2899,0.2432,18,0.1777,0.4805,18,0.3832,0.1165,18
2385851,17,0.2933,0.2533,17,0.1803,0.4887,17,0.3409,0.1806,17
2411268,17,0.3935,0.1181,17,0.1827,0.4827,17,0.4723,0.0556,17
2394020,19,-0.2345,0.3338,19,0.1943,0.4254,19,-0.2582,0.2859,19
2356125,18,0.2607,0.296,18,0.2576,0.3021,18,0.2432,0.3309,18
2387122,19,0.2434,0.3304,18,0.2722,0.2744,18,0.2386,0.3403,18
2347025,19,0.4768,0.039,19,0.3087,0.1984,19,0.4775,0.0387,19
2344622,19,0.3173,0.1857,19,0.3305,0.1669,19,0.2925,0.2243,19
2370664,19,0.5559,0.0135,19,0.4185,0.0746,19,0.4966,0.0305,19
2367132,18,0.11,0.6744,17,0.4586,0.0641,17,-0.086,0.7427,17
2371471,16,0.6008,0.0138,16,0.4962,0.0506,16,0.5595,0.0242,16
2345035,19,0.1771,0.4822,18,0.5211,0.0266,18,0.0364,0.8861,18
2412687,16,0.5557,0.0254,16,0.5546,0.0258,16,0.5937,0.0153,16
