SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-1-1,2379478,baby-milk,babiesarelyinhontheirbackinthecribheyarestaggerednddiagonalfrombottomlefttotoprightandtheyhavetwobottleofmilkhatheyaredrinkingfr,55109,1
Encode-Decode_Experiment-1-1,2356991,baseball,theguisslidingfacefirstalonthedirttowardsthehomebaseastheballisalmobeingcaughtbytheguywowantstogethimotheyrebothwearingwh,51406,2
Encode-Decode_Experiment-1-1,2387122,polar bear,polarbearseemstobechewingonthisbaracrossthewindosipressesitsfaceupagainstthglassnearnotherhuanwhoissimilarlypullingastupide,42477,3
Encode-Decode_Experiment-1-1,2397102,cake,theyarebotuttingthecakeIspenttolonglookingaterreddressadIwoulfileyetrackingchallenwmygirlfrienshewouldbeaitseemsliekabitherdaycakIthinkhehadabottleofbehishadnswereoverhersthosoidkwhoscakeitw,69369,4
Encode-Decode_Experiment-1-1,2371471,motorcycle,ithinkigotthisquestionwrongbctheanswerswerewrongbutimbiasetherewasalittlesoutheastasiankidibetweenashinycleanbluemoorcycleandredcabothlooednicwaonastre,50320,5
Encode-Decode_Experiment-1-1,2360001,clock,theywereonsomescafoldingthaticouldbarelyseeliftingclockatleast45ofthemwithcablesinthebackgrounwasblackdwhitcoolphot,36726,6
Encode-Decode_Experiment-1-1,2410309,laptop,babywascopyingtmumonthesofaswhoithinkhadadietcokitlookedlikesheneededihebabywastyp,31833,7
Encode-Decode_Experiment-1-1,2347025,umbrella,babyonthemumsbackholdingnumberellitisweighinionthemumsshouldermaybebcidkifthekidisstingenoughtoholdthathemumhadafunnyturbanhtthinIwouldguesstheywereasianmaybebcofislamichabutnotsoutheastasialookedmountainypeopl,70342,8
Encode-Decode_Experiment-1-1,2367132,video game,,4958,9
Encode-Decode_Experiment-1-1,2347400,wine,,266,10
