SubjectID,StimID,flagged
Encode-Decode_Experiment-11-1,2369373,1
Encode-Decode_Experiment-11-1,2383555,1
Encode-Decode_Experiment-11-1,2411268,1
Encode-Decode_Experiment-13-1,2350974,1
Encode-Decode_Experiment-13-1,2412687,1
Encode-Decode_Experiment-13-1,2411268,1
Encode-Decode_Experiment-15-1,2379478,1
Encode-Decode_Experiment-3-1,2383555,1
Encode-Decode_Experiment-3-1,2412687,1
Encode-Decode_Experiment-7-1,2350974,1
Encode-Decode_Experiment-11-1,2350974,1
Encode-Decode_Experiment-12-1,2367132,1
Encode-Decode_Experiment-12-1,2412687,0
Encode-Decode_Experiment-12-1,2350974,1
Encode-Decode_Experiment-6-1,2412687,1
Encode-Decode_Experiment-1-1,2371471,1
Encode-Decode_Experiment-12-1,2386442,1
Encode-Decode_Experiment-14-1,2344622,0
Encode-Decode_Experiment-3-1,2371471,1
Encode-Decode_Experiment-3-1,150472,1
Encode-Decode_Experiment-10-1,2362704,0
Encode-Decode_Experiment-13-1,2370664,0
Encode-Decode_Experiment-2-1,150472,1
Encode-Decode_Experiment-3-1,2356991,0
Encode-Decode_Experiment-8-1,2411268,0
Encode-Decode_Experiment-1-1,2374670,0
Encode-Decode_Experiment-10-1,2386442,0
Encode-Decode_Experiment-13-1,2362704,0
Encode-Decode_Experiment-15-1,2362704,0
Encode-Decode_Experiment-16-1,2350974,1
Encode-Decode_Experiment-2-1,2356991,0
Encode-Decode_Experiment-3-1,2386442,0
Encode-Decode_Experiment-1-1,2385851,0
Encode-Decode_Experiment-10-1,2356991,0
Encode-Decode_Experiment-10-1,2370664,0
Encode-Decode_Experiment-11-1,2362704,0
Encode-Decode_Experiment-12-1,2356125,1
Encode-Decode_Experiment-12-1,2362704,0
Encode-Decode_Experiment-14-1,2410309,0
Encode-Decode_Experiment-7-1,2370664,0
Encode-Decode_Experiment-7-1,2374670,0
Encode-Decode_Experiment-7-1,2362704,0
